artTitle,artContent
賴清德國情報告》憲政學者：立院不能強要總統 先於閣揆報告,"2024/05/11 05:30


 立法院朝野黨團昨達成共識，將邀總統當選人賴清德五二〇就職後赴立院進行國情報告。（資料照）

〔記者李文馨／台北報導〕立法院朝野黨團昨協商達成共識，將邀請總統當選人賴清德在五二○就職後，到國會進行國情報告，國民黨團提案主張，總統國情報告先於行政院長施政方針報告，民進黨團則強調這有待協商。對此，學者陳英鈐昨受訪表示，雖然憲法沒有強制規定兩者先後順序，但重點是立法院不能夠強總統之所難，雙方應協商最適合的時間。陳英鈐：總統是對人民負責 而非立院國民黨團提案，邀請總統在新任行政院院長施政方針報告前，依立法院職權行使法第十五條之二規定，到立法院就國家大政方針進行國情報告。中央大學法律與政府研究所教授陳英鈐表示，總統到立法院做國情報告，與行政院長到立法院做施政報告備詢，兩者性質完全不同。他說，台灣是半總統制國家，立法與行政機關間存在「責任政治」的關係，但總統是對人民負責，而非立法院，因此國情報告是總統透過立法院這個場合，向人民說明他的重要政策。至於總統與閣揆誰先報告較為合理？陳英鈐認為，雖然憲法沒有規定，法律也沒有強制要求先後順序，但重點是，「立法院不能夠強總統之所難，要求總統報告一定要在閣揆報告之前」，總統也具有政治高度，只要不是強迫性的邀請，雙方應協商最適合的時間。張宏林：政黨角力 勿放於國家利益之前公督盟執行長張宏林直言，假設在野黨團十三日協商後仍堅持總統報告優先，總統若選擇拒絕，在野黨會以此為藉口，不讓新任閣揆上台進行施政總質詢，進而讓後續審查會議無法進行，「若是如此，只能說在野黨太權謀，把政黨角力放於國家利益之前。」"
接見美跨黨派慶賀代表團 韓國瑜：三黨對外以國家利益第一優先,"2024/05/19 16:52


 立法院長韓國瑜接見美國跨黨派慶賀代表團。（記者陳志曲攝）

〔記者林欣漢／台北報導〕520新任總統及副總統就職典禮將至，各國訪賓團陸續抵台。立法院長韓國瑜今日下午接見美國跨黨派慶賀代表團一行，韓國瑜致詞表示，這兩天各國媒體都有報導前天立法院發生的肢體衝突事件，現在三黨立委都坐在這裡，中午也一同接待日本訪團，三黨對外都是一致的，友善溫暖，內部怎麼爭吵都沒關係，但是對國防外交都是一致的，以國家利益為第一優先，這個看法不會改變。韓國瑜說，謝謝美國朋友的關切，他並以在場的民進黨立委莊瑞雄為例，「莊委員前兩天生龍活虎，今天走路有點困難，這都是立法院衝突的後遺症」。韓國瑜表示，台灣民主走到這一步非常不容易，我們也堅信民主本身就有綜合各方意見，透過辯論及理性溝通的過程，達到自我治療、成長及發展的方向與目標，請各位好朋友，對台灣的民主深具信心。此次美方特使團由前白宮國家經濟會議總監迪斯及前副國務卿阿米塔吉共同率團，成員包括美國在台協會（AIT）前主席卜睿哲及AIT主席羅森柏格等，成員背景涵蓋國安、外交及經濟等重要領域，而且都是資歷完整，嫻熟台美雙邊關係、印太區域事務的前資深官員。AIT台北辦事處處長孫曉雅也陪同。迪斯致詞表示，很高興有機會拜訪立法院，從訪團成員來看由不同成員組成，很多都是台灣的常客，這也代表台美關係的淵源悠久，明天將見證520新任總統及副總統就職典禮，這是台灣對全世界傳達強烈的訊息，台灣民主的力量、和平轉移政權的過程。迪斯說，謹代表美國人民及美國總統拜登，表達美台之間強烈的承諾，是扎根在共同的民主價值，美國願意與立法院在重要的議題攜手合作，包括國防安全、和平穩定及兩岸議題等，美國將致力於促進台美建設性的夥伴關係。韓國瑜表示，熱情歡迎，希望首次來台的迪斯能喜歡上台灣。他重申，立法院第11屆台美國會議員聯誼會，共有跨黨派72名立委參與，由立法院副院長江啟臣擔任榮譽會長，民進黨立委王定宇與國民黨立委柯志恩擔任共同會長，卡司是最強大的，看好萊塢電影，一定先看卡司，自己看過法櫃奇兵以後，只要是哈里遜福特的電影一定看，立法院最強的卡司，都在台美聯誼會裡面，代表台灣對美方的重視。"
05/13 各報重點新聞一覽,"2024/05/13 06:36


 立法院朝野黨團今將協商由國民黨立委傅崐萁等人所提「環島高速鐵路建設特別條例草案」、「花東快速公路建設特別條例草案」，由於兩案均已過一個月協商冷凍期，最快明天院會就可表決。（資料照）

自由時報花東快、環島高鐵 本週將闖關 違憲惡案若過 綠委促政院提覆議立法院朝野黨團今將協商由國民黨立委傅崐萁等人所提「環島高速鐵路建設特別條例草案」、「花東快速公路建設特別條例草案」，由於兩案均已過一個月協商冷凍期，最快明天院會就可表決，屆時若藍白強度關山，民進黨立委促請行政院呈請總統核可後，移請立院覆議，聲請釋憲則是最後手段。詳見花東快、環島高鐵 本週將闖關 違憲惡案若過 綠委促政院提覆議。金融三業Q1對中國曝險 年減12%金管會公布金融三業對中國曝險統計，今年首季為一兆○三七一億元、年減十二．三％；其中，銀行業對中曝險九五二九億元、連續十二季下跌，而產險業自二○二三年一月以來，已連續十五個月對中曝險「掛蛋」。詳見金融三業Q1對中國曝險 年減12%。三重祖孫三代3死 涉案女婿落網母親節前夕，新北市三重區發生祖孫三代遭殺害的「棉被覆屍」命案，警方昨前往台中市逮捕廿四歲嫌犯張泓毅，張嫌初步承認，不滿在酒店工作的妻子陳心妍劈腿，五月一日晚間到隔日，連續掐死陳女、岳母劉柔姬及三歲繼子三人，並在伴屍六天後，才帶著他跟妻子飼養的愛犬「糯米」逃亡。詳見三重祖孫三代3死 涉案女婿落網。聯合報520政權交接在即 蔡留難題 賴怎拆彈五二○政權交接在即，蔡政府八年執政，從兩岸、外交，到能源、青年低薪、居住正義與司法改革等，都留下待解難題。過去八年，民進黨因一黨獨大，在年金改革、一例一休等爭議政策，仗著國會多數，強勢輾壓在野黨，造成朝野嚴重對立。準總統賴清德下周一上任，必須面對蔡政府留下的燙手山芋。詳見520政權交接在即 蔡留難題 賴怎拆彈。祖孫3屍命案 女婿坦承缺錢行凶新北市三重區祖孫三代三屍命案，六十九歲劉姓婦人和卅歲陳姓女兒、三歲外孫躺在臥室同一張床，各裹著一條棉被，死亡多日。警方昨天逮捕涉嫌行凶的廿四歲張姓男子，是劉姓婦人女婿，他坦承殺害三人，聲稱因自己在外面欠了很多賭債，又沒有工作和收入，為了缺錢和妻子、岳母激烈爭執後徒手掐死二人，再掐死繼子。詳見祖孫3屍命案 女婿坦承缺錢行凶。中國時報賴清德承諾走蔡路線 不尋求獨立準總統賴清德520即將發表就職演說，兩岸立場受國際矚目。根據美國國會研究處日前向國會提出的報告，賴已承諾將遵循蔡英文總統「四個堅持」的兩岸政策路線，不會尋求以獨立為中心的議題，避免增加台海衝突可能性。據了解，賴陣營已向美方表達其兩岸立場，已獲美方理解和信任。詳見賴清德承諾走蔡路線 不尋求獨立。立陶宛大選將揭曉 我辦事處恐改名立陶宛12日舉辦總統選舉，現任總統瑙塞達（Gitanas Nauseda）民調領先，預計將贏得大選，獲得新任期。瑙塞達在競選期間要求「駐立陶宛台灣代表處」（The Taiwanese Representative Office in Lithuania）改名，未來代表處更名壓力大增。詳見立陶宛大選將揭曉 我辦事處恐改名。

 金管會公布金融三業對中國曝險統計，今年首季為一兆○三七一億元、年減十二．三％。（資料照）


 新北市三重祖孫三代遇害命案，嫌犯張姓男子昨落網，被帶回三重分局偵訊。（記者方賓照攝）"
民眾黨團：民進黨團場內案海戰術 場外發假訊息誤導,"2024/05/19 15:55


 立院民眾黨團主任陳智菡今（19）日發聲明批評，民進黨團在議場內不斷杯葛發案、使出「案海戰術」干擾，又於場外不斷發布假訊息誤導民眾，民眾黨團對此提出嚴正抗議。（民眾黨提供）

〔記者黃靖媗／台北報導〕立法院17日處理藍白陣營提出的國會擴權相關法案，藍綠白陣營爆發激烈肢體衝突。立院民眾黨團主任陳智菡今（19）日發聲明批評，民進黨團在議場內不斷杯葛發案、使出「案海戰術」干擾，又於場外不斷發布假訊息誤導民眾，民眾黨團對此提出嚴正抗議。對於民進黨稱在野黨提「臨時動議」搞黑箱，陳智菡表示，臨時動議本就是在院會審議時直接提出，民進黨團也是如此，民進黨團的臨時動議也沒有先提供給在野黨或詢問的媒體，她質疑，「民進黨得到民眾黨所提臨時動議的時間，和民眾黨看到民進黨臨時動議的時間幾乎是一樣的，民進黨完全沒有事前公開，所以民進黨是在說自己黑箱嗎？」陳智菡表示，民眾黨團17日提出臨時動議後，馬上提供給媒體參閱，一切公開透明，反而是民進黨團使出「案海戰術」，1個法案就提40個修正動議、40個再修正動議，堆成一座小山，內容混亂，到底要修正什麼，恐怕連民進黨立委都霧煞煞。針對「蘇花快速公路建設特別條例」與「環島高速鐵路建設特別條例」，陳智菡說明，民眾黨團不但反對使用特別預算，也在黨團協商中清楚表達等5月20日新政府上台後，由新任交通部再行處理，表示充分尊重新政府之決策權之立場。陳智菡也指出，在5月17日當日，立院根本沒有審議花東條例，「請問民進黨王定宇等立委到底是裝傻看不見？還是根本搞不清楚當天立法院發生什麼事？」，她批評，執政黨立委一再用錯誤的資訊誤導民眾、亂帶風向，從民意代表淪為黨意代表，再淪為側翼，沈淪崩壞程度，令人咋舌。"
內定接行政院長辦公室主任 林德訓出席新內閣「新生訓練」,"2024/05/04 12:00


 林德訓（左）今天出席「行動創新AI內閣新閣策勵營」。（記者劉信德攝）

〔記者鍾麗華／台北報導〕競選期間擔任賴清德主席辦公室特助的林德訓，內定出任行政院長辦公室主任，襄助準行政院長卓榮泰處理府院黨政務，雖然此一人事尚未正式公布，但林德訓今天出席「行動創新AI內閣新閣策勵營」，等於證實這項人事安排。對於相關的工作與職務，林德訓並不願多談。卓榮泰日前被捕捉到在立法院附近超商與林德訓喝咖啡，傳出林德訓未來將出任卓榮泰辦公室主任。對此，卓榮泰曾表示，他與林德訓喝咖啡，應該是週日，因為當天超商咖啡大杯的只要加10元就有第二杯，就找了好朋友喝，一人喝不如兩人喝，「談論的是家常的事情」。林德訓與馬永成、羅文嘉同屬民進黨學運世代，大學期間即積極投入學生運動，畢業後就成為時任立委陳水扁的國會助理，並一路隨扁做到總統辦公室主任，而林德訓也在賴清德出任民進黨主席後，以黨主席特助之姿，納入賴團隊運作。"
05/17 各報重點新聞一覽,"2024/05/17 06:50


 台北市議會調查專案小組成員詹為元昨表示，北士科案取消「智慧健康關聯產業園區」類別限制，像是為新光集團量身訂做。（記者鹿俊為攝）

自由時報北士科案 突取消健康關聯產業限制 議員：柯市府為新光量身訂做民眾黨主席、台北市長柯文哲任內北投士林科技園區（北士科）T17、T18設定地上權案，疑涉圖利新光人壽。台北市議會調查專案小組成員、國民黨議員詹為元昨表示，第三次招標突然取消「智慧健康關聯產業園區」類別限制，北市府產業發展局至今未提供任何會議紀錄，經他爬梳訪談備忘錄，十八家潛在投資廠商中僅有新光人壽、新光醫院建議取消限制。請柯文哲好好解釋決策過程，「不然看起來就像是為新光集團因人設事、量身訂做。」詳見北士科案 突取消健康關聯產業限制 議員：柯市府為新光量身訂做。520將至 對岸擴大侵擾 中國網攻我機關 增為每日250萬次五二○將至，中共除持續派出機艦對台侵擾外，國安局昨表示，中共針對政府機關的網路侵擾，從今年一月總統大選時的每日一百萬次不斷提高，截至五月十五日統計，已增加至每日二百五十多萬次。詳見520將至 對岸擴大侵擾 中國網攻我機關 增為每日250萬次。祭祀公業土地分割案涉收賄 前和美鎮長阮厚爵收押國民黨籍彰化縣和美鎮前鎮長阮厚爵，任內涉嫌一起祭祀公業土地分割收賄案，彰化地檢署十五日展開搜索，帶回鎮公所四名課員、姚姓司機及經辦祭祀公業土地的相關成員共十四人，檢方訊後認定阮男與在土地變更案居中協調的賴姓男子，涉犯貪污罪嫌重大，有逃亡、串證之虞，聲請羈押禁見兩人獲准；昨召開羈押庭後，姚姓司機獲十萬元交保、公所課員請回。詳見祭祀公業土地分割案涉收賄 前和美鎮長阮厚爵收押。聯合報全球首例 美爆乳牛染H5N1傳人美國發生全球首例乳牛感染高病原性禽流感Ｈ５Ｎ１病毒事件，不只乳牛，貓、羊也感染，並出現首例人類病例，病情屬輕症但出現結膜炎症狀。美國調查研究發現，乳牛感染Ｈ５Ｎ１是經由野鳥傳染給乳牛後，再於牛群中傳播。衛福部疾管署發言人曾淑慧表示，為避免感染風險，提醒民眾勿飲用未經殺菌的生乳。詳見全球首例 美爆乳牛染H5N1傳人。撥補台電導致略升…國債新高 每人背債27.4萬元財政部近日公布最新國債鐘，平均每人負債廿七萬四千元創歷史新高，遭立委砲轟國債鐘破表；不過，財政部晚間火速發布新聞解釋，至五月十日止國債鐘每人負債增加是因為短期資金調度的結果，今天就會還掉四八○億元短期債務，人均負債將降至廿七萬二千元，平了歷史紀錄。詳見撥補台電導致略升…國債新高 每人背債27.4萬元。中國時報國會改革案今表決 朝野恐爆大衝突立法院16日朝野協商破裂，藍綠白今日皆甲動，立法院將有一場表決大戰。民進黨團總召柯建銘昨欲以同意「花東快、環島高鐵」等2項交通建設案為籌碼，換取藍白今日不對國會改革法案做表決，否則將爆發「史上最大衝突」。國民黨團總召傅崐萁回嗆，不接受任何條件交換，民進黨若要包圍主席台，「要踩過我們的身體」。藍白兩黨持續夜宿議場正門，民進黨團通知今晨6點議場報到，以人海戰術拖延議事進行。詳見國會改革案今表決 朝野恐爆大衝突。俄承認台灣是中華人民共和國不可分割一部分中國國家主席習近平16日在北京，與俄羅斯總統普丁舉行會談。習近平表示，中俄關係穩定有利世界和平，兩國將在各領域合作做出新部署。會後，中俄發表《聯合聲明》，除深化全面戰略協作夥伴關係，擴大聯合演訓活動規模外，也以嚴厲措詞直指美國霸權破壞地區和全球和平。俄方則重申恪守一中原則、反對台獨。詳見俄承認台灣是中華人民共和國不可分割一部分。

 國安局昨表示，中共針對政府機關的網路侵擾，從今年一月總統大選時的每日一百萬次不斷提高，已增加至每日二百五十多萬次。（路透檔案照）


 國民黨籍彰化和美鎮前鎮長阮厚爵，任內涉一起祭祀公業土地分割收賄案，檢方聲押獲准。（資料照）"
郭昱晴細數立院荒謬鬧劇 網友氣喊：國家被藍白亂搞,"2024/05/17 11:30


 國民黨團總召傅崐萁率國民黨立委佔領主席台，站上主席座位擺出勝利姿態。（記者劉信德攝）

黃其豪／核稿編輯〔即時新聞／綜合報導〕朝野立委今日一早就在立法院上演推擠衝突，不少立委紛紛掛彩，民進黨立委郭昱晴也發文分享從清晨到現在的經歷，她表示自己在立院門口的推擠中差點喘不過氣、手肘被拉傷，議場內徐巧芯吹著不太悅耳的直笛，國民黨團總召傅崐萁像「國王登基」般站在主席台上，至於民眾黨立委黃國昌，則是「在議場門口媒體拍完，就走人了？」立法院院會今天預計表決國會改革相關法案，朝野立委一早就上演推擠衝突，立委郭昱晴也在臉書發文分享看到的一些荒謬情形。她表示「清晨六點，我們就在立法院待命了。七點前議場門口的一陣推擠，我差點喘不過氣，手肘微微被拉傷。好不容易進到議場，看到亭妃委員也受傷了」。郭昱晴指出「國民黨佔據主席台，中間還是有不少的激烈衝突，包括羅委員在上面大聲咆哮挑釁嘴秋，說不知道要打誰的頭？伯洋委員帥氣十足的回應， 叫他下來，但他不下來⋯⋯」郭昱晴表示「被外交部告的徐委員吹著不太悅耳的直笛，還搞不清楚自己吹的是國旗歌還是國歌？被王滬寧名字唸反也無所謂的傅委員，直接站在主席台上，像國王登基一樣」。郭昱晴提到「回到座位後，剛剛我就問前排的昭姿委員『妳們家道德長城人咧？妳知道他在議場門口媒體拍完 ，就走人了？』」對此民眾黨立委陳昭姿則是聳肩說 「他還有事吧？」這番內容也引發網友議論，紛紛留言表示「辛苦了...」、「我頭真的好痛」、「加油，為了台灣我們一步都不能退」、「老師還是帶護肘護膝比較好」、「國家被藍白亂搞，台灣人還看不清嗎」。有網友更氣喊「真的要解散國會比較快，不然台灣會被藍白用垮」、「這就是一半以上台灣人的選擇，好好看看自己的現世報，尤其是小草們」。

 黃國昌保護萬美玲完成遞案程序，後續與民進黨郭國文口角衝突。（記者劉信德攝）


 國民黨立委徐巧芯在混亂中以直笛吹奏國歌，甚至開放現場點歌。（記者羅沛德攝）


 藍綠爆推擠衝突後，議場大門被擠到出現裂縫。（記者羅沛德攝）"
出席AI內閣策勵營 柯建銘盼新內閣堅持：此刻政治環境面對嚴重挑戰,"2024/05/04 14:42


 520新舊政府交接在即，新內閣團隊今（4）日舉辦「行動創新AI內閣新閣策勵營」，民進黨團總召柯建銘也獲邀與會。（記者李文馨攝）

〔記者李文馨／台北報導〕520新舊政府交接在即，新內閣團隊今（4）日舉辦「行動創新AI內閣新閣策勵營」，獲邀與會的民進黨團總召柯建銘受訪表示，歡迎新內閣團隊加入國家工程行列，盼各閣員要清楚，「此時此刻的政治環境要面對嚴重挑戰，必須堅持住」。對於未來優先政策，賴清德致詞提及，在野黨總統候選人於競選期間提出的政見，若評估對人民有益也應該接受，並納入推動計畫；各政黨都已提出主張，若大家有共識且對國家有益就優先來做，對國家社會無益又沒有共識就擱置，對國家社會有益、但還沒有取得共識，執政黨責無旁貸、盡力溝通協調，讓政策得以落實。媒體詢問，賴清德致詞時提及，只要是福國利民法案，不分藍綠白都應優先，民進黨團的壓力是否不小？  柯建銘回應，只要有共識且福國利民法案，不管誰提的都很歡迎，也希望實現。但他也直言，現在立法院法案，「哪一個有共識、哪個有福國利民？」都在破壞憲政體制、執政，若有好的法案，當然非常歡迎。另，柯建銘會前受訪指出，總統府、行政院、民進黨及民進黨立法院黨團屬行政一體，如同汽車的4個輪子，歡迎新內閣團隊加入國家工程行列，但大家要清楚，「此時此刻的政治環境要面對嚴重挑戰，必須堅持住」，而挑戰困難本來就是一種價值。"
徐巧芯不甩韓國瑜制止攜違禁品 拿民進黨旗勒王美惠脖子,"2024/05/17 13:15


 徐巧芯拿出民進黨旗與王美惠拉扯。（記者羅沛德攝）

〔記者陳政宇／台北報導〕立法院今（17）日一早爆發朝野推擠衝突，國民黨立委徐巧芯在議場吹奏直笛和氣笛，遭立法院長韓國瑜宣告禁止攜帶違禁品。民進黨立委指控，徐巧芯還拿出民進黨的黨旗衝上前蹂躪、撕扯，非常羞辱人，甚至試圖捆住民進黨立委王美惠的脖子。立法院院會今天預計表決國會改革相關法案，朝野立委一早就上演推擠衝突。韓國瑜在討論事項第一案前宣告，請院會保持肅靜，立法院議場維護及管理要點，會議時委員不得攜帶麥克風、旗竿、棍棒、汽油、噴漆、爆裂物及議事無關之物品，並不得破壞議事設備。對此，民進黨立委洪申翰表示，就在韓國瑜院長宣布，不得攜帶與議事無關的物品之後，徐巧芯突然衝上前，從她的庫洛米包包拿出一塊綠色的布，弄成「長繩狀」，試圖捆住王美惠委員的脖子，幸好王掙脫，非常危險。民進黨立委蘇巧慧則說，徐巧芯真的很過分，很懂怎麼樣侮辱、激怒人，兩軍對壘時，拿著旗幟蹂躪真的很過分，剛剛王美惠跟徐巧芯衝突，徐巧芯從袋子拿出一塊綠色「長繩」，試圖捆住王美惠的脖子，王美惠當然會掙脫，後來弄到手。蘇巧慧指出，徐巧芯攤開那塊布說，「我哪有什麼違禁品，這不是你們民進黨最愛的黨旗嗎？」加上蹂躪、撕扯的動作，就在所有民進黨委員面前，真的很羞辱人，她在萬里可以拍網美照，別人去他家拍照又說被迫害，雙標到極點。

 立法院今（17）日一早爆發朝野推擠衝突，國民黨立委徐巧芯在議場吹奏直笛和氣笛，遭立法院長韓國瑜宣告禁止攜帶違禁品。民進黨立委指控，徐巧芯又拿出民進黨的黨旗衝上前蹂躪、撕扯，非常羞辱人，甚至試圖捆住民進黨立委王美惠的脖子。（記者劉信德攝）


 立法院今（17）日一早爆發朝野推擠衝突，國民黨立委徐巧芯在議場吹奏直笛和氣笛，遭立法院長韓國瑜宣告禁止攜帶違禁品。民進黨立委指控，徐巧芯又拿出民進黨的黨旗衝上前蹂躪、撕扯，非常羞辱人，甚至試圖捆住民進黨立委王美惠的脖子。（擷自蔡易餘臉書）


 民進黨立委指控徐巧芯拿出民進黨的黨旗衝上前蹂躪、撕扯，非常羞辱人，甚至試圖捆住民進黨立委王美惠的脖子。（記者劉信德攝）"
朱立倫：民進黨在國會是少數卻想摧毀國會與在野黨,"2024/05/10 11:33


 國民黨主席朱立倫（中）10日參加113年「母親節包金元寶 媽媽都是我的寶」向全國母親致敬活動，和到場的婆婆媽媽們一起包水餃並致贈小蛋糕來慶祝母親節。（記者廖振輝攝）

〔記者施曉光／台北報導〕國民黨主席朱立倫今上午出席「母親節包金元寶，媽媽都是我的寶」母親節慶祝活動受訪時指出，前行政院長蘇貞昌最近說出了一個事實，而且全台灣的人都知道，那就是準總統賴清德只拿到40%的選票，只有40%的民意支持，而且民進黨在國會是少數，但3個多月以來大家看到民進黨以戰狼式、惡意的攻擊，以及毀滅式的「人肉炸彈」方式想要摧毀台灣、摧毀國會以及在野黨，難道這是賴清德所希望的嗎？朱立倫說，賴清德如果要真正的反省改革，走回民主正軌，就是未來賴清德要到立法院針對未來的大政方針以及民眾所關心的議題，好好回答問題。有關民眾黨將於520前夕舉辦群眾集會，民眾黨主席柯文哲呼籲認同改革的人都站出來，朱立倫回應，國民黨要求新政府全面改革，因為過去8年民進黨執政不公不義，受害的民眾太多，民眾全力要求改革，這不只是那一個政黨，而是全民的要求，而且520之前國民黨智庫以及立法院黨團記者會都已經分別提出要求，希望賴清德能正面回應，不只是在520就職演說，還要在立法院做國情報告，針對立委提出的問題好好加以說明，這才是全民所期待，國民黨會與全民一起強力要求民進黨徹底的反省與改革。此外，藍營立委將前往太平島視察，朱立倫表示，大家就平常心看待，他質疑綠營與綠媒誇張的把中華民國的領土當成特別情況，就連外國人都覺得太平島是我們自己國家的領土，民意代表依法定申請到那邊慰勞在地將士，這有什麼特殊情況？更何況暑假到了，學生也可以申請過去，民進黨卻把這件事情特殊化，何況過去民進黨也去過，他呼籲民進黨不要因為蔡英文總統不去太平島，就把這件事情當成嚴重的議題，未來賴清德也可能會去，所以不要把它當成特別的議題。"
《高雄》高雄鐵路立體化 擬延伸橋頭、大寮,"2024/05/16 05:30


 高雄市推動鐵路立體化延伸，立委許智傑（右五）與多位鳳山區里長爭取鐵路地下化延伸至大寮。（記者陳文嬋攝）

年底完成左營至橋頭可行性評估 楠梓產業園區擬設「台積電站」〔記者陳文嬋／高雄報導〕高雄市推動鐵路立體化延伸橋頭、大寮，預估若採地下化總經費將破千億元，交通局預估今年底完成左營至橋頭可行性評估，明年啟動鳳山至九曲堂計畫可行性評估，並擬增設「台積電站」，未來工程師可搭火車到台積電上班，預計二○三四年動工、二○四一年完工。中央允補助2千萬 評估鳳山至九曲堂高雄市區從左營至鳳山的鐵路已完成地下化並通車，但鳳山出口段位於北門里住宅密集區，火車爬坡出土噪音大，影響居民生活，並在大智陸橋形成交通瓶頸，車流量大常發生車禍，地方陳情鐵路地下化能往東繼續延伸。此外，左營以北鐵路未立體化路段，影響發展受阻，楠梓產業園區、橋頭科學園區聯外道路因鐵路受阻，楠梓陸橋交通動線紊亂，網友形容是「楠梓百慕達」，行車經過當地壓力超大。若兩計畫均採地下化 經費將破千億立法院交通委員會昨南下高雄考察交通建設，交通局提出「左營至橋頭」計畫全長十一．九五公里，地下化經費五七六．七億元，「鳳山至九曲堂」全長七．五公里，地下化經費四六八億元，立委許智傑爭取延伸至大寮區，鳳山區多位里長表達支持。許智傑說，鐵路地下化原本要經過大智陸橋，十年前受限經費未果，隨著鳳山人口快速成長，成為高雄最大行政區，鐵路地下化有需要往東再延伸，並於北端的楠梓產業園區增設「台積電站」，未來工程師搭火車就能到台積電上班。預計2034年動工、2041年完工交通部次長林國顯昨允諾補助近二千萬元經費，執行鳳山至九曲堂立體化可行性評估，未來採高架化或地下化，尊重專業評估與地方意見，交通部全力支持；交通局將於可行性評估完成後，陸續召開地方說明會，決定高架化或地下化，向中央爭取工程經費。"
徐巧芯洩露外交機密嚴重性 吳釗燮：以後台灣援助烏克蘭可能受挫,"2024/05/09 11:31


 外交部長吳釗燮今日接受《POP撞新聞》廣播節目專訪談及台捷協議文件遭洩露的嚴重性，直指影響程度最大是烏克蘭，因烏克蘭與中國關係特殊，以後台灣援烏可能會受挫。（翻攝直播）

〔記者陳鈺馥／台北報導〕台灣透過捷克援助烏克蘭的協議文件遭國民黨立委徐巧芯外洩，外交部近日對徐洩密一事提告。外交部長吳釗燮今日接受《POP撞新聞》廣播節目專訪談及此事嚴重性，直指影響程度最大是烏克蘭，因烏克蘭與中國關係特殊，以後台灣援烏可能會受挫。而且若公開密件不會遭到懲處，這對國家是有傷害，提告徐巧芯是外交部內部所做決定，但有跟總統府知會過，府方也表示支持。面對網友質疑，為何外交部一定要告徐巧芯？吳釗燮說明，外交部定期會有機密文件送立法院備查或給立委參考，但這些密件被公開對我國利益會造成嚴重影響。可以試想我國跟其他國家的約定，要透過什麼管道、達成什麼目標等，這些如果全被公開，等於是提供中國可以用來打壓台灣，外交部不希望這件事持續擴大，若不採取行動，最終影響就是國家利益。此事是否影響台灣與捷克關係？吳釗燮指出，目前看來沒有，有密切跟捷克聯繫，也跟對方解釋是因為涉及國內政治。捷克方面有注意台灣內部的政治問題，但捷克方面不會對此多說什麼，以免涉入台灣國內政治，但他們也會擔心對台捷關係有影響，甚至衝擊到其他國家。吳釗燮指出，這個計畫是去年12月1日簽定這個協議，屬於政府跟政府之間的協議，根據「條約締結法」須送到行政院，再送到立法院後予以執行，現在才剛開始起步。吳釗燮強調，這份機密公文是發給每個立委，照理來說，立委必須對這份文件保密。外交部之前新聞稿有提及台捷有簽署協議，但從未把協議文本內容對外公開，現在卻被洩露，這個才是關鍵。外交部是否因為是徐巧芯才決定提告？吳釗燮說，外交部事先根本不知道，是看到她把文件拿出來秀給記者看，真的令人傻眼。立法委員與行政部門應該有些適度友誼存在，但畢竟我國是民主國家，有相關制度存在，當機密文件被洩漏出去，就必須採取斷然措施，因為部會經常性會提供資料到立法院，如果這次沒有擋住，以後還會越來越多，受傷的將是國家。吳釗燮談到洩密的嚴重性時強調，這會損及台捷之間的互信，中東歐幾個國家看到這種狀況，其他國家對台灣的信任感也會降低。該事影響程度最大的是烏克蘭。大家都想協助烏克蘭，但烏克蘭與中國的關係非常特殊，以前中烏關係很好，現在烏克蘭也期待中國能在和平上扮演重要角色，但烏國也了解台灣議題對中國的敏感性，以後台灣協助烏克蘭可能都會受到挫折。吳釗燮提及，台灣有透過烏克蘭地方政府及NGO組織直接給予援助，但中央政府方面因為比較敏感，避免與台灣直接接觸，所以是透過捷克、立陶宛第三國方式提供協助。該協議設成密件是因為文件曝光會影響國家利益，因條約締結依法要送政院、立院，列為密件就是不希望被外洩。"
